action,run_number,dcoord,menu_action
64,0,"(0, 1)",False
24,0,"(0, 1)",False
32,0,"(0, 1)",True
32,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
115,0,"(0, 1)",True
105,0,"(0, 1)",True
108,0,"(0, 1)",True
118,0,"(0, 1)",True
101,0,"(0, 1)",True
114,0,"(0, 1)",True
32,0,"(0, 1)",True
100,0,"(0, 1)",True
114,0,"(0, 1)",True
97,0,"(0, 1)",True
103,0,"(0, 1)",True
111,0,"(0, 1)",True
110,0,"(0, 1)",True
32,0,"(0, 1)",True
115,0,"(0, 1)",True
99,0,"(0, 1)",True
97,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
32,0,"(0, 1)",True
109,0,"(0, 1)",True
97,0,"(0, 1)",True
105,0,"(0, 1)",True
108,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
102,0,"(0, 1)",True
105,0,"(0, 1)",True
114,0,"(0, 1)",True
101,0,"(0, 1)",True
112,0,"(0, 1)",True
114,0,"(0, 1)",True
111,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
99,0,"(0, 1)",True
108,0,"(0, 1)",True
111,0,"(0, 1)",True
97,0,"(0, 1)",True
107,0,"(0, 1)",True
32,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
109,0,"(0, 1)",True
97,0,"(0, 1)",True
103,0,"(0, 1)",True
105,0,"(0, 1)",True
99,0,"(0, 1)",True
32,0,"(0, 1)",True
114,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
116,0,"(0, 1)",True
97,0,"(0, 1)",True
110,0,"(0, 1)",True
99,0,"(0, 1)",True
101,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
102,0,"(0, 1)",True
105,0,"(0, 1)",True
114,0,"(0, 1)",True
101,0,"(0, 1)",True
112,0,"(0, 1)",True
114,0,"(0, 1)",True
111,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
98,0,"(0, 1)",True
111,0,"(0, 1)",True
111,0,"(0, 1)",True
116,0,"(0, 1)",True
115,0,"(0, 1)",True
32,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
115,0,"(0, 1)",True
112,0,"(0, 1)",True
101,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
114,0,"(0, 1)",True
117,0,"(0, 1)",True
115,0,"(0, 1)",True
116,0,"(0, 1)",True
112,0,"(0, 1)",True
114,0,"(0, 1)",True
111,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
103,0,"(0, 1)",True
97,0,"(0, 1)",True
117,0,"(0, 1)",True
110,0,"(0, 1)",True
116,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
116,0,"(0, 1)",True
115,0,"(0, 1)",True
32,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
112,0,"(0, 1)",True
111,0,"(0, 1)",True
119,0,"(0, 1)",True
101,0,"(0, 1)",True
114,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
114,0,"(0, 1)",True
117,0,"(0, 1)",True
115,0,"(0, 1)",True
116,0,"(0, 1)",True
112,0,"(0, 1)",True
114,0,"(0, 1)",True
111,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
104,0,"(0, 1)",True
101,0,"(0, 1)",True
108,0,"(0, 1)",True
109,0,"(0, 1)",True
32,0,"(0, 1)",True
111,0,"(0, 1)",True
102,0,"(0, 1)",True
32,0,"(0, 1)",True
98,0,"(0, 1)",True
114,0,"(0, 1)",True
105,0,"(0, 1)",True
108,0,"(0, 1)",True
108,0,"(0, 1)",True
105,0,"(0, 1)",True
97,0,"(0, 1)",True
110,0,"(0, 1)",True
99,0,"(0, 1)",True
101,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
119,0,"(0, 1)",True
105,0,"(0, 1)",True
115,0,"(0, 1)",True
104,0,"(0, 1)",True
13,0,"(0, 1)",True
98,0,"(0, 1)",True
108,0,"(0, 1)",True
101,0,"(0, 1)",True
115,0,"(0, 1)",True
115,0,"(0, 1)",True
101,0,"(0, 1)",True
100,0,"(0, 1)",True
32,0,"(0, 1)",True
43,0,"(0, 1)",True
49,0,"(0, 1)",True
48,0,"(0, 1)",True
32,0,"(0, 1)",True
71,0,"(0, 1)",True
114,0,"(0, 1)",True
97,0,"(0, 1)",True
121,0,"(0, 1)",True
115,0,"(0, 1)",True
119,0,"(0, 1)",True
97,0,"(0, 1)",True
110,0,"(0, 1)",True
100,0,"(0, 1)",True
105,0,"(0, 1)",True
114,0,"(0, 1)",True
13,0,"(0, 1)",True
35,0,"(0, 1)",False
119,0,"(0, 1)",True
105,0,"(0, 1)",True
122,0,"(0, 1)",True
105,0,"(0, 1)",True
100,0,"(0, 1)",True
101,0,"(0, 1)",True
110,0,"(0, 1)",True
116,0,"(0, 1)",True
105,0,"(0, 1)",True
102,0,"(0, 1)",True
121,0,"(0, 1)",True
13,0,"(0, 1)",True
106,0,"(0, 1)",True
101,0,"(0, 1)",True
102,0,"(0, 1)",True
103,0,"(0, 1)",True
104,0,"(0, 1)",True
105,0,"(0, 1)",True
13,0,"(0, 1)",True
32,0,"(0, 1)",True
32,0,"(0, 1)",True
32,0,"(0, 1)",True
32,0,"(0, 1)",True
32,0,"(0, 1)",True
108,0,"(0, 1)",False
108,0,"(0, 1)",False
87,0,"(0, 1)",False
101,0,"(0, 1)",True
87,0,"(0, 1)",False
102,0,"(0, 1)",True
87,0,"(0, 1)",False
104,0,"(0, 1)",True
87,0,"(0, 1)",False
105,0,"(0, 1)",True
87,0,"(0, 1)",False
103,0,"(0, 1)",True
117,0,"(0, 1)",False
104,0,"(0, 1)",False
98,0,"(0, 1)",False
110,0,"(0, 1)",False
117,0,"(0, 1)",False
110,0,"(0, 1)",False
107,0,"(0, 1)",False
107,0,"(0, 1)",False
106,0,"(0, 1)",False
110,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
108,0,"(0, 1)",False
117,0,"(0, 1)",False
110,0,"(0, 1)",False
106,0,"(0, 1)",False
117,0,"(0, 1)",False
106,0,"(0, 1)",False
