action,run_number,dcoord,menu_action,sokoban_action,sokoban_move
64,0,"(0, 1)",False,False,
24,0,"(0, 1)",False,False,
32,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
35,0,"(0, 1)",False,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
122,0,"(0, 1)",True,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
104,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
98,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
43,0,"(0, 1)",True,False,
49,0,"(0, 1)",True,False,
48,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
118,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
103,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
110,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
99,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
109,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
35,0,"(0, 1)",False,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
122,0,"(0, 1)",True,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
104,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
98,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
112,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
43,0,"(0, 1)",True,False,
49,0,"(0, 1)",True,False,
48,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
99,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
107,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
109,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
103,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
99,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
116,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
110,0,"(0, 1)",True,False,
99,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
35,0,"(0, 1)",False,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
122,0,"(0, 1)",True,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
104,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
98,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
112,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
43,0,"(0, 1)",True,False,
49,0,"(0, 1)",True,False,
48,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
98,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
116,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
112,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
35,0,"(0, 1)",False,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
122,0,"(0, 1)",True,False,
119,0,"(0, 1)",True,False,
105,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
104,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
98,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
100,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
117,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
116,0,"(0, 1)",True,False,
112,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
43,0,"(0, 1)",True,False,
49,0,"(0, 1)",True,False,
48,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
103,0,"(0, 1)",True,False,
97,0,"(0, 1)",True,False,
117,0,"(0, 1)",True,False,
110,0,"(0, 1)",True,False,
116,0,"(0, 1)",True,False,
108,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
116,0,"(0, 1)",True,False,
115,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
102,0,"(0, 1)",True,False,
32,0,"(0, 1)",True,False,
112,0,"(0, 1)",True,False,
111,0,"(0, 1)",True,False,
119,0,"(0, 1)",True,False,
101,0,"(0, 1)",True,False,
114,0,"(0, 1)",True,False,
13,0,"(0, 1)",True,False,
35,0,"(0, 1)",False,False,
119,0,"(0, 1)",True,False,
