ARBITRARY,GLYPH,NAME,APPEARANCE,JAPANESE_NAME,SHUFFLED,SHUFFLE_CLASS,SLOT,COST,WEIGHT,PRICE,GEN_CURSED,AC,MATERIAL,MC,SPECIAL
0,2021,Hawaiian shirt,Hawaiian shirt,,FALSE,,shirt,3,5,8,,0,C,0,Shops
1,2022,T-shirt,T-shirt,,FALSE,,shirt,2,5,2,,0,C,0,Shops
3,2020,leather jacket,leather jacket,,FALSE,,suit,10,30,12,,1,L,1,
4,2019,leather armor,leather armor,,FALSE,,suit,5,150,82,,2,L,1,
5,2018,orcish ring mail,crude ring mail,,FALSE,,suit,80,250,20,,2,I,1,
6,2016,studded leather armor,studded leather armor,,FALSE,,suit,15,200,72,,3,L,1,
7,2017,ring mail,ring mail,,FALSE,,suit,100,250,72,,3,I,1,
8,2015,scale mail,scale mail,,FALSE,,suit,45,250,72,,4,I,1,
9,2014,orcish chain mail,crude chain mail,,FALSE,,suit,75,300,20,,4,I,1,
10,2013,chain mail,chain mail,,FALSE,,suit,75,300,72,,5,I,1,
11,2012,elven mithril coat,elven mithril-coat,,FALSE,,suit,240,150,15,,5,M,2,
12,2009,splint mail,splint mail,,FALSE,,suit,80,400,62,,6,I,1,
13,2010,banded mail,banded mail,,FALSE,,suit,90,350,72,,6,I,1,
14,2011,dwarvish mithril coat,dwarvish mithril-coat,,FALSE,,suit,240,150,10,,6,M,2,
15,2008,bronze plate mail,bronze plate mail,,FALSE,,suit,400,450,25,,6,B,1,
16,2006,plate mail,plate mail,tanko,FALSE,,suit,600,450,44,,7,I,2,
17,2007,crystal plate mail,crystal plate mail,,FALSE,,suit,820,450,10,,7,G,2,
19,1999,red dragon scales,red dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Fire
20,2000,white dragon scales,white dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Cold
21,2001,orange dragon scales,orange dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Sleep
22,2003,blue dragon scales,blue dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Elec
23,2004,green dragon scales,green dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Poison
24,2005,yellow dragon scales,yellow dragon scales,,FALSE,,suit,500,40,0,,3,D,1,Acd
25,2002,black dragon scales,black dragon scales,,FALSE,,suit,700,40,0,,3,D,1,Disint
26,1998,silver dragon scales,silver dragon scales,,FALSE,,suit,700,40,0,,3,D,1,Reflect
27,1997,gray dragon scales,gray dragon scales,,FALSE,,suit,700,40,0,,3,D,1,Magic
28,1990,red dragon scale mail,red dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Fire
29,1991,white dragon scale mail,white dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Cold
30,1992,orange dragon scale mail,orange dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Sleep
31,1994,blue dragon scale mail,blue dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Elec
32,1995,green dragon scale mail,green dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Poison
33,1996,yellow dragon scale mail,yellow dragon scale mail,,FALSE,,suit,900,40,0,,9,D,1,Acd
34,1993,black dragon scale mail,black dragon scale mail,,FALSE,,suit,1200,40,0,,9,D,1,Disint
35,1989,silver dragon scale mail,silver dragon scale mail,,FALSE,,suit,1200,40,0,,9,D,1,Reflect
